project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.25,false,PACKAGE,0,1,1.0,false,221,4,0.003337730402180565,0,PACKAGE,.,.,com.pump.plaf.button.mixed,mixed,0,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.14893617021276595,false,PACKAGE,35,1,0.012345679012345678,false,2591,48,0.07650693031968046,0,PACKAGE,.,.,com.pump.util,util,8221,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,0,1,1.0,false,0,2,0.003337730402180565,0,PACKAGE,.,.,com,com,4137,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,0,0,1.0,false,0,1,0.003337730402180565,0,PACKAGE,.,.,com.jhlabs,jhlabs,4143,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.6666666666666666,false,PACKAGE,9,2,0.0,false,91,28,0.03723168909559812,0,PACKAGE,.,.,com.pump,pump,4151,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.25,false,PACKAGE,0,5,1.0,false,1916,16,0.003337730402180565,0,PACKAGE,.,.,com.pump.data.operator,operator,63,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,0,6,1.0,false,737,3,0.003337730402180565,0,PACKAGE,.,.,com.pump.print.swing,swing,4160,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,2,0,0.0,false,236,1,0.007094874333018921,0,PACKAGE,.,.,com.pump.reflect,reflect,6305,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.07407407407407407,false,PACKAGE,23,3,0.11940298507462686,false,2153,29,0.05592285103160121,0,PACKAGE,.,.,com.pump.io,io,6321,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.36363636363636365,false,PACKAGE,8,0,0.0,false,1222,11,0.0736646301426361,0,PACKAGE,.,.,com.pump.util.list,list,4287,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.07692307692307693,false,PACKAGE,3,3,0.42857142857142855,false,949,13,0.010734645532007394,0,PACKAGE,.,.,com.pump.image.jpeg,jpeg,4432,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,1,14,0.9722222222222222,false,884,5,0.00404700050388843,0,PACKAGE,.,.,com.pump.showcase.app,app,389,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,1,1,0.25,false,534,6,0.0038105771366524752,0,PACKAGE,.,.,com.pump.print,print,8590,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.5,false,PACKAGE,6,2,0.23076923076923078,false,201,6,0.018498447679596096,0,PACKAGE,.,.,com.pump.io.parser,parser,6563,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.3333333333333333,false,PACKAGE,2,1,0.2,false,42,3,0.00563638894087856,0,PACKAGE,.,.,com.pump.io.icon,icon,6571,container
